Sl. No,City,Area,Corporate Park,Location, Total Employee Strength , Real Estate Allowed ,Type of Screen,Dimensions (W*H),Display Size (Inches),Units,Network,Key Corporate Tenants
4,Bangalore,Whitefield,Prestige Shantiniketan,Crescent 1 - Reception Lobby,"  40,000 ", N ,Digital Pods,3*7,55,1,7,"Elocity Technologies India Private Limited,Concentrix, Britannia Industries Limited, Rockstar Games India, MEDTRONIC, Baxter Innovations & Business Solutions Pvt Ltd, Tata Elxsi Limited, Britannia Industries Limited, Prestige Shantinikethan, Optym India Private Limited, Awfis Prestige Shantiniketan, Kaseya, GE Healthcare, CapRelo Mobility India Private Limited,, Cogent eservices private limited PSN Bangalore, Tata Consultancy Services, Hindustan Unilever | UniOps, ICICI Bank Prestige, Shantiniketan Bangalore-Branch & ATM, Genisys Group, India Document Solutions Private Ltd., , Herbalife International India Pvt Ltd, Thermo Fisher Scientific, Synapse Techno Design Innovations Private Limited, Algorythm, Flowserve Global Technology & Engineering Center (GTEC), Nielsen Sports, Hexaware Technologies Limited"
,Bangalore,Whitefield,Prestige Shantiniketan,Crescent 2 - Reception Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,Prestige Shantiniketan,Crescent 3 - Reception Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,Prestige Shantiniketan,Crescent 4 - Reception Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,Prestige Shantiniketan,Tower A - Reception Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,Prestige Shantiniketan,Tower B - Reception Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,Prestige Shantiniketan,Tower C - Reception Lobby,,,Digital Pods,3*7,55,1,,
5,Bangalore,Whitefield,Prestige Technostar,Reception Lobby - B1,"  20,000 ", N ,Digital Pods,3*7,55,1,5,"Stratus Technologies, Brady Company India Pvt. Ltd., Gartner India Research and Advisory Services Pvt. Ltd., AMD, o9 Solutions, Inspirage Software Consulting Pvt. Ltd., Route Mobile Limited Bangalore - RouteLab, Symplr, Annalect, TBWA\India, DealerSocket India Private Limited, Aeries Technology Private Limited, Relevance Lab Pvt. Ltd., Adept Chip Services Pvt. Ltd., and sophisTex Pvt. Ltd., etc."
,Bangalore,Whitefield,Prestige Technostar,Reception Lobby - B2,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,Prestige Technostar,Reception Lobby - B3,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,Prestige Technostar,Reception Lobby - B4,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,Prestige Technostar,Food Court - 1,,,Digital Pods,3*7,55,1,,
6,Bangalore,Nagawara,Manyata Tech park - Mfar,First Floor - Elevator Lobby,"  150,000 ", Y ,Digital Wall Panel,3*5,55,1,6,"IBM India Pvt. Ltd., HCL Technologies, Microsoft, Tata Consultancy Services Ltd., Nokia Networks (Earlier known as NSN or Nokia Siemens Networks), Nvidia, Larsen & Toubro Technology Services, Northern Trust, Rolls-Royce, AXA Technologies Shared Services, AXA Business Services, GlobalFoundries, Fidelity, Atlas Copco, Alcatel-Lucent, ANZ, Cerner, Cognizant, Concentrix, Dimension Data India (formerly Data Craft India), Lowe's Services India Pvt. Ltd., Target Corporation India, Monsanto Holdings, Mitel (Earlier known as Mavenir Systems), NetScout Systems, NXP Semiconductors, Philips, Justdial, Nuance Communications, Aditi Technologies, Indegene Lifesystems, JCPenney, Stylus Commercial Services, Mast Global Business Services India Pvt. Ltd., Redknee, Network International, Colt Technologies, Andritz AG, Kinapse, Voonik Technologies Pvt. Ltd., Invecas Inc., Flightraja Travels (Via.com), The Executive Centre, Gaea Technologies, SLK Group, Tambora Systems India Pvt. Ltd., i4 Global Information Technologies Ltd., Phani Information Technologies Ltd., Jurimatrix, and Manyata."
,Bangalore,Nagawara,Manyata Tech park - Mfar,Ground Floor - Elevator Lobby,,,Digital Wall Panel,3*5,55,1,,
,Bangalore,Nagawara,Manyata Tech park - Mfar,First Floor - Retail Area,,,Digital Wall Panel,3*5,55,1,,
,Bangalore,Nagawara,Manyata Tech park - Mfar,Ground Floor - Retail Area 1,,,Digital Wall Panel,3*5,55,1,,
,Bangalore,Nagawara,Manyata Tech park - Mfar,Ground Floor - Retail Area 2,,,Digital Wall Panel,3*5,55,1,,
,Bangalore,Nagawara,Manyata Tech park - Mfar,Ground Floor - Retail Area 3,,,Digital Wall Panel,3*5,55,1,,
7,Bangalore,Whitefield,Brigade IRV,Elevator Lobby Ground Floor,"  8,000 ", N ,Digital Pods,3*7,55,1,4,"Regus, Chainalytics, Marriott Revenue Management Remote Solutions, Accelalpha, Y-Axis, Mobile Programming India Pvt. Ltd., UrbanPiper, WorkX Coworking Spaces, Nisent Global Solutions Pvt. Ltd., SmartGig Technologies Private Limited, Factonity Systems Pvt Ltd, Sunovaa Tech Pvt. Ltd, Cronbay Technologies, Analyttica Datalab Pvt. Ltd., Aimtron Technologies, Electrono Solutions Private Limited, ATCS, Vassco Furniture & Home Decors Private Limited, ARTOIES INTERNATIONAL PRIVATE LIMITED, SROTRA TECHNOLOGIES PVT LTD."
,Bangalore,Whitefield,Brigade IRV,Reception Ground Floor,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,Brigade IRV,Ground Floor Entry,,,Digital Pods,3*7,55,1,,
,Bangalore,Whitefield,Brigade IRV,Ground Floor Exit,,,Digital Pods,3*7,55,1,,
8,Bangalore,Bellandur,Global Tech Park,Main Lobby Tower A - GF,"  20,000 ", Y ,Digital Pods,3*7,55,1,5,"LinkedIn, Vodafone, EPAM Bangalore, Marvell Semiconductors, VMware, KPMG Global Services, West Pharmaceutical Services, Saviynt, Versa Networks, TalbotFORCE, SkyPoint Cloud Inc., GSN Games, Huron Eurasia India Private Limited, Texila Educational & Management Services Pvt Ltd, Vivero International, Fastenal, Marvell India Pvt. Ltd., Tangoe India Softek Services Pvt Ltd, Kwalee India, Silverline India, Impact Analytics, Yazaki India Technical Center, FP Tech Science Pvt. Ltd., and Kwalee India."
,Bangalore,Bellandur,Global Tech Park,Main Lobby Tower B - GF,,,Digital Pods,3*7,55,1,,
,Bangalore,Bellandur,Global Tech Park,Main Lobby Tower D - GF,,,Digital Pods,3*7,55,1,,
,Bangalore,Bellandur,Global Tech Park,Main Lobby Tower E - GF,,,Digital Pods,3*7,55,1,,
,Bangalore,Bellandur,Global Tech Park,Food Court Entry,,,Digital Pods,3*7,55,1,,
9,Bangalore,Whitefield,First Technology Park,Block A - Reception,"  5,000 ", Y ,Digital Pods,3*7,55,1,2,"Wipro Technologies Limited, Infosys Technologies Limited, Akamai Technologies Solutions India Pvt Ltd, Ifortis Worldwide, Cognexa Business Solutions, Jyeshtha Solutions Pvt Ltd, Atsiro Pvt Ltd, Cahfad Technologies, Nirvigna.com, and Ejl Tech."
,Bangalore,Whitefield,First Technology Park,Block C - Reception,,,Digital Pods,3*7,55,1,,
10,Bangalore,Bellandur,Cessna - Embassy Tech Square,Food Court Entry,"  20,000 ", N ,Digital Pods,3*7,55,1,3,"Gartner India Research and Advisory Services Pvt. Ltd, Syniverse, IQVIA, LG Soft India Pvt. Ltd, Cambium Networks Private Limited, Ribbon Communication Pvt. Ltd., InMobi Technology Services Pvt. Ltd, CrimsonLogic India Pvt. Ltd, Applied Information Sciences India, KLAY Centre, Leadsquared, MarketXpander Services Pvt. Ltd, Tracelay Networks GSOC, Glance, Here Solutions India Pvt. Ltd, Vulpith.com."
,Bangalore,Bellandur,Cessna - Embassy Tech Square,Food Court Entry,,,Digital Pods,3*7,55,1,,
,Bangalore,Bellandur,Cessna - Embassy Tech Square,Food Court Entry,,,Digital Pods,3*7,55,1,,
11,Bangalore,Marathahalli,Roach Icon,Rreception Lobby,"  8,000 ", N ,Digital Pods,3*7,55,1,2,"Affirmed Networks, Hcl Info system, Continual Engine Pvt. Ltd., Qualitrix Technologies, Ferns Icon, RBD ICON, Lenovo India Pvt Ltd, Aspire Systems , "
,Bangalore,Marathahalli,Roach Icon,Food Court,,,Digital Pods,3*7,55,1,,
12,Bangalore,Hebbal ,Vasant's Business Park,Elevator Lobby Ground Floor,"  5,000 ", N ,Digital Pods,3*7,55,1,4,"Cogent E Services and Saranyu Technologies, iProcess Clinical Marketing, Puresight Systems (iRobot India), FNLK Development"
,Bangalore,Hebbal ,Vasant's Business Park,Reception lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Hebbal ,Vasant's Business Park,Food Court,,,Digital Pods,3*7,55,1,,
,Bangalore,Hebbal ,Vasant's Business Park,Food Court,,,Digital Pods,3*7,55,1,,
13,Bangalore,Kadubeesanahalli,Umiya Business Bay,Tower 1 Reception Lobby Entry,"  10,000 ", N ,Digital Pods,3*7,55,1,6,"Accolite Software, Sonus Networks, Spirent Communications, Xactly Technologies, T-Systems, Noodle Analytics, AT&T Communication Services, Yokogawa IA Technologies, Fidelity National Financial, Tieto Software, Page Industries, Servion Global Solutions, Vlocity Cloud Applications, iKeva Business Centre, Bridgei2i Analytics Solutions, Noodle Analytics, Sophos Technologies, T-Systems ICT, Smartworks Business Centre, Cambium Networks, Yazaki India, FNF India, Simeio Development Centre etc"
,Bangalore,Kadubeesanahalli,Umiya Business Bay,Tower 2 Reception Lobby Entry,,,Digital Pods,3*7,55,1,,
,Bangalore,Kadubeesanahalli,Umiya Business Bay,Tower 1 Lobby Exit,,,Digital Pods,3*7,55,1,,
,Bangalore,Kadubeesanahalli,Umiya Business Bay,Tower 2 Lobby Exit,,,Digital Pods,3*7,55,1,,
,Bangalore,Kadubeesanahalli,Umiya Business Bay,Tower 1 Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Kadubeesanahalli,Umiya Business Bay,Tower 2 Elevator Lobby,,,Digital Pods,3*7,55,1,,
14,Bangalore,Hebbal,Umiya Velociti,Reception Lobby,"  6,000 ", N ,Digital Pods,3*7,55,1,4,"Sanchar india news, Lucky Chan, Etc"
,Bangalore,Hebbal,Umiya Velociti,Reception Lobby Area,,,Digital Pods,3*7,55,1,,
,Bangalore,Hebbal,Umiya Velociti,Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Bangalore,Hebbal,Umiya Velociti,Food court Elevator Lobby,,,Digital Pods,3*7,55,1,,
15,Bangalore,Ashok Nagar,Prestige Sterling Square,Elevator Lobby Ground Floor,"  8,000 ", N ,Digital Pods,3*7,55,1,11,"TRUGlobal Software India, iPass India, and Infinera India, Saama Capital India Advisors LLP, IndiQube Innovent Spaces Pvt. Ltd., Frost and Sullivan India Pvt. Ltd., IPpro Services India LLP, Nishith Desai Associates, and SVB India Advisors Ltd., Emerald, Barracuda Networks, Icon Clinical Research, Marlabs Software, Mpowered Health Infotech, NTT DATA FA Insurance Systems, and an Awfis coworking space, Godrej Properties, Allergan India, Indeed.co.in,"
,Bangalore,Ashok Nagar,Prestige Sterling Square,Elevator lobby basement 1,,,Digital Pods,3*7,55,1,,
,Bangalore,Ashok Nagar,Prestige Sterling Square,Elevator lobby basement 2,,,Digital Pods,3*7,55,1,,
16,Bangalore,Ashok Nagar,Prestige Solitaire,Reception Lobby,,,Digital Pods,3*7,55,1,,
17,Bangalore,Ashok Nagar,Prestige Sigma,Reception Lobby,,,Digital Pods,3*7,55,1,,
18,Bangalore,Ashok Nagar,Prestige Loka,Reception Lobby,,,Digital Pods,3*7,55,1,,
19,Bangalore,Ashok Nagar,Prestige Emerald,Elevator lobby 1,,,Digital Pods,3*7,55,1,,
,Bangalore,Ashok Nagar,Prestige Emerald,Elevator lobby 2,,,Digital Pods,3*7,55,1,,
,Bangalore,Ashok Nagar,Prestige Emerald,Elevator lobby basement 1,,,Digital Pods,3*7,55,1,,
,Bangalore,Ashok Nagar,Prestige Emerald,Elevator lobby basement 2,,,Digital Pods,3*7,55,1,,
20,Bangalore,Ashok Nagar,Prestige Towers,Reception Lobby,,,Digital Pods,3*7,55,1,,
