Sl. No,City,Area,Corporate Park,Location, Total Employee Strength , Real Estate Allowed ,Type of Screen,Dimensions (W*H),Display Size (Inches),Units,Network,Key Corporate Tenants
,Mumbai,BKC,Parinee Crescenzo Business Park,Driveway Entry Lobby - B,,,Digital Pods,3*7,55,1,,
2,Mumbai,Powai,Kanakia Boomerang,Reception Lobby Area,"  10,000 ", Y ,Digital Pods,3*7,55,1,6,"Roxul Rockwool, eClinicalWorks India Private Limited, Sitel India, Nord-Lock India Private Limited, Synergy Group, Pioneer Foundation Engineers Pvt. Ltd., Clear Point Instrumentation Pvt. Ltd, Heurtey Petrochem India Private Limited, IGP.com, Mep, Vellvette, CIMS, Transven Lifestyle Pvt. Ltd., VRIPL Retail Private Limited, Unitherm Engineers Limited, and Hi5 Youth Foundation."
,Mumbai,Powai,Kanakia Boomerang,Tower A,,,Digital Pods,3*7,55,1,,
,Mumbai,Powai,Kanakia Boomerang,Tower B,,,Digital Pods,3*7,55,1,,
,Mumbai,Powai,Kanakia Boomerang,Reception Lobby Area 2,,,Digital Pods,3*7,55,1,,
,Mumbai,Powai,Kanakia Boomerang,Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Mumbai,Powai,Kanakia Boomerang,Elevator Lobby,,,Digital Pods,3*7,55,1,,
3,Mumbai,Thane,G Corp Tech Park,Reception lobby and elevator lobby,"  16,000 ", N ,Digital Pods,3*7,55,1,3,"Concentrix, IQVIA, DXC Technology, PerkinElmer India, Virtusa Consulting Services Private Limited, Sterling Talent Solutions, Birla Sunlife Insurance Co Ltd, ACE E-Service Pvt Ltd, and Convergys."
,Mumbai,Thane,G Corp Tech Park,Reception lobby and elevator lobby,,,Digital Pods,3*7,55,1,,
,Mumbai,Thane,G Corp Tech Park,Driveway Lobby Entry,,,Digital Pods,3*7,55,1,,
4,Mumbai,Lower Parel West,Urmi Estate,Tower A - Elevator Lobby,"  8,000 ", Y ,Digital Pods,3*7,55,1,4,"Hotstar, Akasa Air, Star India Private Limited, Maersk Line Office, Digitas, PUBLICIS MEDIA, Performics.Convonix, PhillipCapital (India) Pvt. Ltd., Lycée Français International de Mumbai, Law & Kenneth Saatchi & Saatchi India Private Limited, Consulate General of Republic of South Africa, DSB International School, VAssist Services Pvt. Ltd., The Learning Galaxy."
,Mumbai,Lower Parel West,Urmi Estate,Iconic Tower - Reception,,,Digital Pods,3*7,55,1,,
,Mumbai,Lower Parel West,Urmi Estate,Iconic Tower - Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Mumbai,Lower Parel West,Urmi Estate,Iconic Tower - Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Mumbai,Lower Parel West,Urmi Estate,Entry walkway,,,Wall Mount,5*6,100,1,1,
5,Mumbai,Airoli,Empire Tower,A Wing - Elevator Lobby,"  15,000 ", Y ,Digital Pods,3*7,55,1,4,"Maersk Line, Tech Mahindra, Tata Consulting Engineers Limited, Jacobs Solutions India Pvt. Ltd., Lupin Limited, First Brands Group India-Horizon Global, EBARA MACHINERY INDIA PVT. LTD., LH Global Hub Services Pvt. Ltd., Seamex, a Unit of BMCSL, Presidency Digital India Private, Enser Communications Pvt. Ltd., Certified Professional Translation, EFC Business Center Pvt. Ltd."
,Mumbai,Airoli,Empire Tower,B Wing - Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Mumbai,Airoli,Empire Tower,C Wing - Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Mumbai,Airoli,Empire Tower,D Wing - Elevator Lobby,,,Digital Pods,3*7,55,1,,
6,Mumbai,Airoli,Reliable Tech Park,Lobby A Wing,"  15,000 ", Y ,Digital Pods,3*7,55,1,4,"Universal Sompo General Insurance Company Ltd, ECI Telecom India Pvt Limited, Fresh for Health, Godrej Koerber Supply Chain Limited, CITI-INDIA Creative IT , Honeywell Automation, ISS Global Forwarding India, Indian Commodity Exchange Ltd, Awfis, GREEN ECO TECH NXT, Lionbridge India, Yotta Data ServicesSKY Engineering & Cleaning Systems, Clariant India Private Limited, Tech Mahindra Pvt ltd, ETC"
,Mumbai,Airoli,Reliable Tech Park,Lobby B Wing,,,Digital Pods,3*7,55,1,,
,Mumbai,Airoli,Reliable Tech Park,Elevator Lobby A Wing,,,Digital Wall Panel,3*5,55,1,,
,Mumbai,Airoli,Reliable Tech Park,Elevator Lobby B Wing,,,Digital Wall Panel,3*5,55,1,,
7,Mumbai,Airoli,Liberty tower,Elevator Lobby A,"  8,000 ", Y ,Digital Wall Panel,3*5,55,1,2,"Reliance General Insurance, Magic Bus India Foundation, Sutherland Global Services, Cytel, SIFY Technology, Inchcape Shipping Services, Ecofirst Services Limited, Sulzer Tech India Pvt. Ltd., WebMD, Bharat Serums and Vaccines Limited, Reliable Cloud City pvt, InterProducTec Virtual Labs Pvt. Ltd., SamX Motion Pictures"
,Mumbai,Airoli,Liberty tower,Elevator Lobby B,,,Digital Wall Panel,3*5,55,1,,
8,Mumbai,Airoli,Reliable Plaza,Elevator Lobby A,"  8,000 ", Y ,Digital Pods,3*5,55,1,2,"WebMD, Bharat Serums and Vaccines Limited, Reliable Cloud City pvt, InterProducTec Virtual Labs Pvt. Ltd."
,Mumbai,Airoli,Reliable Plaza,Elevator Lobby B,,,Digital Wall Panel,3*5,55,1,,
9,Mumbai,Koparkhairane,Rupa Solitaire,Ground Lobby Area,"  40,000 ", Y ,Digital Pods,3*7,55,1,10,"Linde India Limited, ZTE INDIA, XL Dynamics India Private Limited, Mavenir Systems, Marquis Technologies, Orient Technologies, Ascra Technologies, MindCraft Software Pvt. Ltd. - Reg Office, WEBTELINDIA, Sarla Advantech Pvt. Ltd., Flagship Biotech International Private Limited, IcruxSystem Pvt. Ltd., Value Loans, G4K Solutions Pvt. Ltd., Rein Labs, Alumayer, and Object Edge."
,Mumbai,Koparkhairane,Rupa Solitaire,Ground Lobby Area,,,Digital Pods,3*7,55,1,,
,Mumbai,Koparkhairane,Rupa Solitaire,Ground Lobby Area,,,Digital Pods,3*7,55,1,,
,Mumbai,Koparkhairane,Rupa Solitaire,A Wing - Elevator Lobby 1,,,Digital Pods,3*7,55,1,,
,Mumbai,Koparkhairane,Rupa Solitaire,A Wing - Elevator Lobby 2,,,Digital Pods,3*7,55,1,,
,Mumbai,Koparkhairane,Rupa Solitaire,B Wing - Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Mumbai,Koparkhairane,Rupa Solitaire,D Wing - Elevator Lobby 1,,,Digital Pods,3*7,55,1,,
,Mumbai,Koparkhairane,Rupa Solitaire,D Wing - Elevator Lobby 2,,,Digital Pods,3*7,55,1,,
,Mumbai,Koparkhairane,Rupa Solitaire,7th Floor food court,,,Digital Pods,3*7,55,1,,
,Mumbai,Koparkhairane,Rupa Solitaire,11th floor Area,,,Digital Pods,3*7,55,1,,
10,Mumbai,BKC,Kanakia Zillion,Elevator Lobby - Block A,"  12,000 ", Y ,Digital Wall Panel,3*5,40,1,8,"Sonova Hearing India, Phonak India Pvt. Ltd, NXTGen Jhaveri Honda, Highway Concessions One Private Limited, Adroit Biomed Ltd, Checkers India Technology Pvt. Ltd., Treasury and Wealth Management Company, National Exports Manpower Consultant, VISABOYO, R.K. Travel Services, 1Pay, Newstar Aluminium Windows, Shaheen Academy Kurla, and Forex."
,Mumbai,BKC,Kanakia Zillion,Elevator Lobby - Block B,,,Digital Wall Panel,3*5,40,1,,
,Mumbai,BKC,Kanakia Zillion,Elevator Lobby - Block C,,,Digital Wall Panel,3*5,40,1,,
,Mumbai,BKC,Kanakia Zillion,Elevator Lobby - Block D,,,Digital Wall Panel,3*5,40,1,,
,Mumbai,BKC,Kanakia Zillion,Elevator Lobby - Block E,,,Digital Wall Panel,3*5,40,1,,
,Mumbai,BKC,Kanakia Zillion,Elevator Lobby - Block F,,,Digital Wall Panel,3*5,40,1,,
,Mumbai,BKC,Kanakia Zillion,Elevator Lobby - Block G,,,Digital Wall Panel,3*5,40,1,,
,Mumbai,BKC,Kanakia Zillion,Elevator Lobby - Block H,,,Digital Wall Panel,3*5,40,1,,
11,Mumbai,Powai,Technology Center IV,Ground Floor Elevator Lobby,"  5,000 ", Y ,Digital Pods,3*7,55,1,4,"CitiusTech Healthcare Technology Private Limited, L&T Business Park, IndiQube Lakeview, Amber Day Care & Candyfloss Pre-school."
,Mumbai,Powai,Technology Center IV,Ground Floor Entry Lobby,,,Digital Pods,3*7,55,1,,
,Mumbai,Powai,Technology Center IV,Food Court - Entry,,,Digital Pods,3*7,55,1,,
,Mumbai,Powai,Technology Center IV,Food Court - Billing,,,Digital Pods,3*7,55,1,,
12,Mumbai,Kalina,Windsor House,Tower WH - Elevator Lobby,"  8,000 ", N ,Digital Pods,3*7,55,1,6,"AK Group, H&R Johnson, The Crescent Group, Microsoft Corporation India Private Limited, Windsor Realty Private Ltd, Outlook India Publishig PVT, Credilia Financial Services Limited, DSM Nutritional Products India PVT, BTV, Mirae Asset Global investments (India) pvt, Hathway head office, BBC studios India pvt, Sekura Energy Private Limited, India Bonds Etc"
,Mumbai,Kalina,Windsor House,Tower WH - Reception Lobby,,,Digital Pods,3*7,55,1,,
,Mumbai,Kalina,Windsor House,Tower W - Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Mumbai,Kalina,Windsor House,Tower W - Reception Lobby,,,Digital Pods,3*7,55,1,,
,Mumbai,Kalina,Windsor House,Food Court Sitting Area,,,Digital Pods,3*7,55,1,,
,Mumbai,Kalina,Windsor House,Food court Retail area,,,Digital Pods,3*7,55,1,,
13,Mumbai,Powai,Lodha Supremus,Elevator Lobby,"  4,000 ", Y ,Digital Pods,3*7,55,1,2,"Raymond, Glaxo Smith Kline Limited,"
,Mumbai,Powai,Lodha Supremus,Reception Lobby,,,Digital Pods,3*7,55,1,,
14,Mumbai,Andheri East,Kanakia 215 Atrium,Reception Lobby,"  10,000 ", Y ,Digital Pods,3*7,55,1,4,"Fossil India Pvt Ltd., CSGT Trading India Pvt Ltd, Societyfor Mumbai Incubation Lab, Hind Terminals Private Limited, Julius Baer, Hal Offshore Ltd., GlobeSecure Technologies Ltd., International Asset Reconstruction Company, Inframax Engineers, Indian Energy Exchange, Infokrafts Data Consultancy Services, Sahajanand Medical Technologies Pvt Ltd, Toyota Tsusho India Pvt. Ltd.,"
,Mumbai,Andheri East,Kanakia 215 Atrium,A Wing - Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Mumbai,Andheri East,Kanakia 215 Atrium,B Wing - Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Mumbai,Andheri East,Kanakia 215 Atrium,C Wing - Elevator Lobby,,,Digital Pods,3*7,55,1,,
15,Mumbai,Andheri East,Kanakia Atrium 2,Reception Lobby,"  5,000 ", Y ,Digital Pods,3*7,55,1,2,"Dextra India Private Limited, Sojitz India, Micro Mechanical Works, Fincrux Technologies, Spiro Lifecare Pvt. Ltd., Barry Callebaut India Private Limited, Renascence Insolvency Resolution Professionals Pvt. Ltd.,"
,Mumbai,Andheri East,Kanakia Atrium 2,Elevator Lobby,,,Digital Pods,3*7,55,1,,
16,Mumbai,Andheri East,Dynasty Business Park,Reception Lobby A,"  5,000 ", Y ,Digital Pods,3*7,55,1,2,"Dev Accelerator, Margo Networks, Sharp Business Systems, HTC Global Services India (Cibersites), MindCraft Software, and TPV Technology, Nimbus Maritime Services, Searock International, Sovika Aviation Services, XT Ships Management, Continental Carriers, and China Shipping.,Regus Business Centre and Bo-Chem, Manan Cotsyn, Greenply Industries, Pramukh Paper Products, Fujitec India, and Dynamix dairy., Bharat Finlease, Hindustan Times Radio Station (Radio One) and Satyam Infoway, Qx Global Services and Droege Group,  Responsys News And Media, EasyRewardz Software Services, Yokogawa Technology Solutions, Anheuser Busch Inbev and SabMiller India"
,Mumbai,Andheri East,Dynasty Business Park,Reception Lobby B,,,Digital Pods,3*7,55,1,,
17,Mumbai,Kurla,Kohinoor City,Tower A - Ground Floor Lobby,"  6,000 ", Y ,Digital Pods,3*7,55,1,2,"Ehtesham & Co. Chartered Accountants, Omega Shipping Agencies Pvt. Ltd, Lis Silver Streak Salon, Softcell Technologies Global Pvt Ltd, Hansa Cequity, Viavi Solutions, American School of Bombay, NSE-WRO, Carnival Support Services India Pvt. Ltd , MOAZZAM OVERSEAS CONSULTANT, Softcell Technologies Global Pvt Ltd"
,Mumbai,Kurla,Kohinoor City,Tower B - Ground Floor Lobby,,,Digital Pods,3*7,55,1,,
18,Mumbai,Kolshet Road,Lodha iThink,Ground Floor - Office Lobby,"  4,000 ", Y ,Digital Pods,3*7,55,1,2,"Lumens Technologies Pvt. Ltd, Technosprout Systems Pvt. Ltd, S SHARMA & ASSOCIATES, Grey And White HR Consultants Private Limited, EVERSTAR OPTOELECTRONICS PVT. LTD, AAJ Media Productions,"
,Mumbai,Kolshet Road,Lodha iThink,Ground Floor - Office Lobby,,,Digital Pods,3*7,55,1,,
19,Mumbai,Andheri,Lodha Supremus,Reception Lobby 1,"  6,000 ", Y ,Digital Pods,3*7,55,1,4,"OneAssist Consumer Solutions
Mirc Electronics Ltd (Onida)
Bisleri International
Peora Fashions
ICICI Bank
VITS Hotels (Corporate Office)
Indana Hotels & Resorts
Trinity Insurance Services
Whizzmark Business Solutions
Digirealty Technologies
Ascent Consulting Services
Anish Financial Services
Samarth Finance Consultant
D B Consultants
Tessuti Industries"
,Mumbai,Andheri,Lodha Supremus,Reception Lobby 2,,,Digital Pods,3*7,55,1,,
,Mumbai,Andheri,Lodha Supremus,Elevator Lobby Ground Floor 1,,,Digital Pods,3*7,55,1,,
,Mumbai,Andheri,Lodha Supremus,Elevator Lobby Ground Floor 2,,,Digital Pods,3*7,55,1,,
,,,,,,,,,,,77,
1,Pune,Hadapsar,Magarpatta Cyberpark,Entry/Exit - Main Lobby Tower 1,"  85,000 ", N ,Digital Pods,3*7,55,1,9,"Avaya, EXL, Capgemini, John Deere, BNY Mellon, Deutsche Bank Group, Mphasis, Varian, Hitachi Consulting, Ocwen, Principal Global Services, HCL, UPS Logistics, Amdocs, Dresser Rand, Fico, Sybase, Tata Elxsi/Konecranes, Sutherland/einfocjips, Reflexis, Teradata, Red Hat, AppDirect, WNS, Sybase/WNS, Xento, CompuCom, Systems Plus, Springer Nature, and Capita."
,Pune,Hadapsar,Magarpatta Cyberpark,Entry/Exit - Main Lobby Tower 2,,,Digital Pods,3*7,55,1,,
,Pune,Hadapsar,Magarpatta Cyberpark,Entry/Exit - Main Lobby Tower 3,,,Digital Pods,3*7,55,1,,
,Pune,Hadapsar,Magarpatta Cyberpark,Entry/Exit - Main Lobby Tower 4,,,Digital Pods,3*7,55,1,,
,Pune,Hadapsar,Magarpatta Cyberpark,Entry/Exit - Main Lobby Tower 5,,,Digital Pods,3*7,55,1,,
,Pune,Hadapsar,Magarpatta Cyberpark,Entry/Exit - Main Lobby Tower 6,,,Digital Pods,3*7,55,1,,
,Pune,Hadapsar,Magarpatta Cyberpark,Entry/Exit - Main Lobby Tower 10,,,Digital Pods,3*7,55,1,,
,Pune,Hadapsar,Magarpatta Cyberpark,Entry/Exit - Main Lobby Tower 11,,,Digital Pods,3*7,55,1,,
,Pune,Hadapsar,Magarpatta Cyberpark,Entry/Exit - Main Lobby Tower 12,,,Digital Pods,3*7,55,1,,
2,Pune,Hadapsar,Pentagon Towers,Pentagon Tower 1,"  35,000 ", N ,Digital Pods,3*7,55,1,4,"Honeywell Automation India Ltd, Knight Frank (India) Pvt. Ltd, Schreiber Dynamix Dairies Pvt Ltd, ITC Ltd, Marketing Office, and ALKYL AMINES CHEMICALS LTD MAGARPATTA. The remaining companies are Sanganaky Technology, Katalyst Technologies Inc, Testrig Technologies - QA & Software Testing Company, Mobikode Software Private Limited, Neova Solutions, Datafortune Software Solutions Pvt. Ltd., Simplify Healthcare, Datart Infotech LLP, PCS IT Solutions Private Limited, Spectraforce Technologies (India) Pvt. Ltd., Collabera Technologies Pvt. Ltd., and Gagstek Solutions Private Limited."
,Pune,Hadapsar,Pentagon Towers,Pentagon Tower 2,,,Digital Pods,3*7,55,1,,
,Pune,Hadapsar,Pentagon Towers,Pentagon Tower 3,,,Digital Pods,3*7,55,1,,
,Pune,Hadapsar,Pentagon Towers,Pentagon Tower 4,,,Digital Pods,3*7,55,1,,
3,Pune,Nanded,Symphony IT Park,Entry/ Exit - Food Court,"  8,000 ", N ,Digital Pods,3*7,55,1,3,"Edel Tech Pvt. Ltd: SAP, FIGmd (India) Pvt. Ltd., Toll Technology Centre, Infinite Science Technologies, PTD Cleantech Solutions Pvt. Ltd, TopMentor - India's #1 Data & Ai E-learning Platform, PrimaVerse IDC LLP, Impexsoft Solutions, Investstocks."
,Pune,Nanded,Symphony IT Park,First floor Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Pune,Nanded,Symphony IT Park,Food Court,,,Digital Pods,3*7,55,1,,
4,Pune,Pimpri-Chinchwad,ICC Tech Park,Main Lobby Entry,"  11,000 ", Y ,Digital Pods,3*7,55,1,6,"Rolls Royce Power Systems, Philips India Limited, Digitide Solutions Limited, Hinduja Tech Limited, Adient Automotive Ltd, Yanfeng India Automotive Interiors Systems Pvt. Ltd., CREAT - UNO MINDA Enterprise, Mitsubishi Electric India Pvt. Ltd., Harman, Visteon Technical And Services Center, INITIA, Etc"
,Pune,Pimpri-Chinchwad,ICC Tech Park,Atrium 1,,,Digital Pods,3*7,55,1,,
,Pune,Pimpri-Chinchwad,ICC Tech Park,Atrium 2,,,Digital Pods,3*7,55,1,,
,Pune,Pimpri-Chinchwad,ICC Tech Park,Elevator Lobby,,,Digital Pods,3*7,55,1,,
,Pune,Pimpri-Chinchwad,ICC Tech Park,Food Court Entry,,,Digital Pods,3*7,55,1,,
,Pune,Pimpri-Chinchwad,ICC Tech Park,Food Court Exit,,,Digital Pods,3*7,55,1,,
5,Pune,Digamber Nagar,Nyati Tech Park,Reception Tower A,"  7,000 ", N ,Digital Pods,3*7,55,1,4,"Elmirate, Coditas, ZenTrades India, Gsource Technologies, Jade Global Software Pvt., Etc"
,Pune,Digamber Nagar,Nyati Tech Park,Reception Tower B,,,Digital Pods,3*7,55,1,,
,Pune,Digamber Nagar,Nyati Tech Park,Food Court,,,Digital Pods,3*7,55,1,,
,Pune,Digamber Nagar,Nyati Tech Park,Food Court,,,Digital Pods,3*7,55,1,,
,,,,,,,,,,,26,
1,Hyderabad,Hitech City,iLabs Tech Park,Tower C & D food court,"  15,000 ", Y ,Digital Pods,3*7,55,1,6,"HP, NTT Data, Synchrony, Invensys, Syniverse Mobile Solution, Cubic, Syniverse Technology, Regus, AMS Semiconductors, PASS GCA Solutions, Host Analytics, CVM Solutions, Wisemen."
,Hyderabad,Hitech City,iLabs Tech Park,B Block food court,,,Digital Pods,3*7,55,1,,
,Hyderabad,Hitech City,iLabs Tech Park,A & B Block Recpetion,,,Digital Pods,3*7,55,1,,
,Hyderabad,Hitech City,iLabs Tech Park,C & D Food Court,,,Digital Wall Panel,3*5,55,1,,
,Hyderabad,Hitech City,iLabs Tech Park,MLCP Food Court,,,Digital Wall Panel,3*5,55,1,,
,Hyderabad,Hitech City,iLabs Tech Park,MLCP 2nd Floor,,,Digital Wall Panel,3*5,55,1,,
2,Hyderabad,Hitech City,Cyber Gateway,Block A Elevator lobby,"  10,000 ", Y ,Digital Pods,3*7,55,1,6,"Infosys Technologies, Thomas Cook, Signant Health Private Limited, EverestDX India Pvt Ltd, Andhra Bank, eBizNET Solutions, ExcelR, Vaco Binary Semantics, Nexiilabs, Advansoft, Blaze Automation, Fint Solutions | Fint, Tvarana Software Solution Pvt Ltd, Rutakshi Technologies Private Limited, Plural Technology Pvt Ltd, Dhruvsoft Services Private Limited, MaaS ERP Solutions Pvt. Ltd., Sonix Human Capital Solutions Pvt. Ltd., First Tek Services Pvt Ltd, InstaVC, Bhrigus Software India Pvt Ltd, and Praveen Properties."
,Hyderabad,Hitech City,Cyber Gateway,Block B Elevator lobby,,,Digital Pods,3*7,55,1,,
,Hyderabad,Hitech City,Cyber Gateway,Block C Elevator lobby,,,Digital Pods,3*7,55,1,,
,Hyderabad,Hitech City,Cyber Gateway,Block D Elevator lobby,,,Digital Pods,3*7,55,1,,
,Hyderabad,Hitech City,Cyber Gateway,Food court entry,,,Digital Wall Panel,3*7,55,1,,
,Hyderabad,Hitech City,Cyber Gateway,Food court Retail,,,Digital Wall Panel,3*7,55,1,,
3,Hyderabad,Hitech City,Cyber Tower,Quadrant 1 Elevator lobby,"  10,000 ", Y ,Digital Pods,3*7,55,1,5,"Teksystems Global Services, ServiceNow Training, Sierra-Cedar India Pvt. Limited, Xoriant Solutions Pvt. Ltd., Google CGW, Pegasys Group, Netxcell Limited, iSource Global Solutions, Technosoft Global Solutions, KloudGin, Visual IT Solutions Pvt Ltd, Techmojo Solutions Pvt Ltd., Pennant Technologies Private Limited, Avineon India, Amps And Watts, ComTec IT Services, iSpace Software Solutions India Pvt Ltd, Huddl Enterprise Communication Pvt Ltd, Abacus Staffing and Services Pvt Ltd, Pochampalli IT Labs, Righyitfy Solutions, Nsight India, Carbynetech India Private, Jotter.ai, Ultimate Bonding Stainless, Softility, Numeric Technologies, Galaxe Solutions, Infovity India Pvt. Ltd., and Lantronix India Pvt. Ltd."
,Hyderabad,Hitech City,Cyber Tower,Quadrant 2 Elevator lobby,,,Digital Pods,3*7,55,1,,
,Hyderabad,Hitech City,Cyber Tower,Quadrant 3 Elevator lobby,,,Digital Pods,3*7,55,1,,
,Hyderabad,Hitech City,Cyber Tower,Quadrant 4 Elevator lobby,,,Digital Pods,3*7,55,1,,
,Hyderabad,Hitech City,Cyber Tower,Entry way,,,Digital Wall Panel,3*7,55,1,,
4,Hyderabad,Nanakramguda,Waverock IT Park,Food Court - 2.0,"  30,000 ", Y ,Digital Pods,3*7,55,1,6,"Tata Consultancy Services, Accenture, DuPont, Aveva, Apple Development Center, Global Logic Technologies, Persistent Systems, DBS Technology Service India, CompuGain Solutions, Innominds Software, M3BI India Pvt Ltd, Qumu Corp, RMSI Pvt Limited, Attra Infotech, Eze Software, Idea Entity Tech Solutions, ShootOrder, Research Wallet, Helius Technologies, Accelerite, Vehicle Fitness Company, Classic Design, APPLE INFOSYS, Avva Deepak, WR-Test, and ETG Digital."
,Hyderabad,Nanakramguda,Waverock IT Park,Food Court - 2.1,,,Digital Pods,3*7,55,1,,
,Hyderabad,Nanakramguda,Waverock IT Park,Waverock IT Park,,,Digital Pods,3*7,55,1,,
,Hyderabad,Nanakramguda,Waverock IT Park,Waverock IT Park,,,Digital Pods,3*7,55,1,,
,Hyderabad,Nanakramguda,Waverock IT Park,Waverock IT Park,,,Digital Pods,3*7,55,1,,
,Hyderabad,Nanakramguda,Waverock IT Park,Food Court - 2.3,,,Digital Pods,3*7,55,1,,
5,Hyderabad,Hitech City,Aurobindo Galaxy,Food court Entry exit,"  15,000 ", N ,Digital Pods,3*7,55,1,4,"Quantela, DAZN Software Private Limited, Renault Nissan Technology & Business Center India, Solenis GSS India Private Limited, Cotiviti India, Smartworks, Re Sustainability Limited, Columbus Global India, Sourcefuse, SenecaGlobal IT Services Private Limited, coMakeIT Software Pvt Ltd, Cohance Lifesciences, RightData Labs Pvt Ltd, and SMSCountry - Bulk SMS Service."
,Hyderabad,Hitech City,Aurobindo Galaxy,Food court retail area GF,,,Digital Pods,3*7,55,1,,
,Hyderabad,Hitech City,Aurobindo Galaxy,Food court retail area FF,,,Digital Pods,3*7,55,1,,
,Hyderabad,Hitech City,Aurobindo Galaxy,Food court sitting area FF,,,Digital Pods,3*7,55,1,,
6,Hyderabad,Hitech City,Prestige Skytech ,Reception Lobby 1,"  10,000 ", N ,Digital Pods,3*7,55,1,5,"WNS Global Services, Entain India, Win Information Technology Pvt Ltd, Bell Techlogix India Private Limited, BodyScience Pilates, Jade Global Software Pvt Ltd, "
,Hyderabad,Hitech City,Prestige Skytech ,Reception Lobby 2,,,Digital Pods,3*7,55,1,,
,Hyderabad,Hitech City,Prestige Skytech ,Elevator Lobby 1,,,Digital Pods,3*7,55,1,,
,Hyderabad,Hitech City,Prestige Skytech ,Elevator Lobby 2,,,Digital Pods,3*7,55,1,,
,Hyderabad,Hitech City,Prestige Skytech ,Elevator Lobby 3,,,Digital Pods,3*7,55,1,,
,,,,,,,,,,,32,
1,Chennai,Rajiv Gandhi Salai,WTC Chennai,Reception lobby A,"  15,000 ", N ,Digital Pods,3*7,55,1,6,"Amazon, Caterpillar, McKinsey Global Capability Centre, Glencore Information Services Pvt Ltd, Babcock Power APAC Pvt. Ltd., BABCOCK POWER APAC PVT. LTD., Zuora India Private Limited, Kissflow (OrangeScape Technologies), Agilisium Consulting, The Morpheus Store."
,Chennai,Rajiv Gandhi Salai,WTC Chennai,Reception lobby B,,,Digital Pods,3*7,55,1,,
,Chennai,Rajiv Gandhi Salai,WTC Chennai,Elevator Lobby 1 1F,,,Digital Pods,3*7,55,1,,
,Chennai,Rajiv Gandhi Salai,WTC Chennai,Elevator Lobby 2,,,Digital Pods,3*7,55,1,,
,Chennai,Rajiv Gandhi Salai,WTC Chennai,Food Court Exit 1F,,,Digital Pods,3*7,55,1,,
,Chennai,Rajiv Gandhi Salai,WTC Chennai,Food Court Exit 1F,,,Digital Pods,3*7,55,1,,
2,Chennai,Nungambakkam,Prince Towers,Elevator Lobby,"  3,000 ", N ,Digital Pods,3*7,55,1,1,"BNP Paribas, Acara Solutions India (Formerly Superior Talent India), Faber Sindoori Management Services, Arkay Ispat Pvt Ltd, MMM Training Solutions."
3,Chennai,Nandaman,Prestige Polygon,Reception lobby Entry,"  8,000 ", N ,Digital Pods,3*7,55,1,2,"Microsoft, Kotak, Durr, RRD, Prestige Experience Center, Prestige Office, Cushman, Gigamon, CredAvenue, SmartWorks, M/S KBR, Tamil Nadu Guidance, CredAvenue Securities, Ananth Rathi, AppStars, Parking Floor, and Vatika."
,Chennai,Nandaman,Prestige Polygon,Reception lobby Exit,,,Digital Pods,3*7,55,1,,
4,Chennai,Anna Salai,Prestige Zakria Metropolitan,Reception lobby Entry,"  1,000 ", N ,Digital Pods,3*7,55,1,2,"Hewlett Packard Enterprise (Global eBusiness Operation Pvt Ltd), Maersk Line India Pvt Ltd & Damco India Pvt Ltd, EMIRATES NBD Bank P.J.S.C, HP, GM Modular Pvt Ltd, Vivriti Capital Pvt Ltd, Symbyont Asset Management Pvt Ltd, AWFIS Space Solutions Pvt Ltd (Clarivate), Vivriti Asset Management Pvt Ltd, and I Software Operation Pvt Ltd."
,Chennai,Anna Salai,Prestige Zakria Metropolitan,Reception sitting area,,,Digital Pods,3*7,55,1,,
5,Chennai,Rajiv Gandhi Salai,Prestige Cyber Tower,Reception lobby,"  5,000 ", N ,Digital Pods,3*7,55,1,2,"CapGemini Technologies Services Pvt Ltd, WNS Global Services Pvt Ltd, AGP GGD India Pvt Ltd."
,Chennai,Rajiv Gandhi Salai,Prestige Cyber Tower,Elevator Lobby,,,Digital Pods,3*7,55,1,,
6,Chennai,Thousand Lights,Prestige Palladium Bayan,Reception lobby,"  2,500 ", N ,Digital Pods,3*7,55,1,2,"Emirates, Reliance Jio, Maersk Line, Pfizer Healthcare, Mitsubishi, Metal One, Fuji Film, Mizuho Bank, Hyosung, Murata Electronics (I) Pvt Ltd, Nippon Paint, Future Pipe, Enoia Babcock Borsing Pvt Ltd, CNSI - New, and Executive Centre."
,Chennai,Thousand Lights,Prestige Palladium Bayan,Elevator Lobby,,,Digital Pods,3*7,55,1,,
7,Chennai,Guindy,Prestige Cosmopolitan,Reception lobby,"  5,000 ", N ,Digital Pods,3*7,55,1,2,"Switch Mobility Automotive Ltd, Mitsubishi/Metal One, Metal One Corporation India Pvt Ltd, Awfis Space Solutions Pvt Ltd, DVS Research and Capital Services Pvt Ltd."
